"","mu","beta","sigma_y","sigma_v","crix"
"2014-08-18",-0.04115,-0.32,0.42075,0.02235,786.4921555
"2014-08-20",-0.0407,-0.3193,0.42,0.02235,880.5010963
"2014-08-22",-0.0397,-0.3331,0.41925,0.02205,882.5566
"2014-08-24",-0.04085,-0.3406,0.4197,0.022,869.3409207
"2014-08-26",-0.0399,-0.337,0.4206,0.0213,872.9780858
"2014-08-28",-0.0387,-0.32805,0.42025,0.02135,866.2610835
"2014-08-30",-0.0367,-0.32795,0.42115,0.02155,857.5924318
"2014-09-01",-0.03525,-0.34465,0.4212,0.0218,814.2321201
"2014-09-03",-0.0352,-0.34225,0.4217,0.02195,811.6338818
"2014-09-05",-0.0337,-0.3572,0.4213,0.022,822.1685513
"2014-09-07",-0.03205,-0.37355,0.4233,0.02205,822.7349399
"2014-09-09",-0.0298,-0.37725,0.424,0.0221,808.1129548
"2014-09-11",-0.0281,-0.3685,0.42395,0.02215,816.5868348
"2014-09-13",-0.02585,-0.38085,0.42405,0.02205,816.6118471
"2014-09-15",-0.02345,-0.3758,0.42285,0.022,813.2662258
"2014-09-17",-0.0209,-0.3725,0.42405,0.0219,785.3543419
"2014-09-19",-0.0189,-0.36555,0.42595,0.0217,680.2144719
"2014-09-21",-0.01715,-0.37175,0.4254,0.02155,685.178632
"2014-09-23",-0.0153,-0.3736,0.42425,0.02135,746.7688196
"2014-09-25",-0.01455,-0.37855,0.4253,0.022,704.7671946
"2014-09-27",-0.0122,-0.3955,0.4264,0.0218,688.1426984
"2014-09-29",-0.01135,-0.4013,0.42615,0.02195,646.2270535
"2014-10-01",-0.00995,-0.39755,0.4278,0.02215,659.2523706
"2014-10-03",-0.00685,-0.40105,0.4277,0.02245,618.411663
"2014-10-05",-0.00555,-0.39855,0.427,0.02285,565.2824686
"2014-10-07",-0.00355,-0.4105,0.42845,0.023,576.0868333
"2014-10-09",-0.0029,-0.4182,0.42985,0.0232,620.1448164
"2014-10-11",-0.0018,-0.4207,0.4307,0.02295,621.403416
"2014-10-13",7e-04,-0.4439,0.4317,0.02295,666.830649
"2014-10-15",0.0027,-0.45625,0.4335,0.0232,674.9876293
"2014-10-17",0.00355,-0.4534,0.4315,0.0232,654.9047858
"2014-10-19",0.00475,-0.45845,0.4336,0.02315,665.5177744
"2014-10-21",0.0047,-0.4636,0.4367,0.023,659.4481674
"2014-10-23",0.003,-0.4621,0.4388,0.023,615.3886954
"2014-10-25",0.0014,-0.4601,0.438,0.02365,598.7981198
"2014-10-27",-0.000400000000000001,-0.46075,0.43825,0.0234,601.4677283
"2014-10-29",-0.0011,-0.46845,0.43785,0.0238,575.3415051
"2014-10-31",-0.00215,-0.4637,0.43765,0.0239,580.3093592
"2014-11-02",-0.0023,-0.4681,0.43965,0.0242,558.5353241
"2014-11-04",-0.0019,-0.4754,0.4412,0.02405,565.9783142
"2014-11-06",-0.00285,-0.4682,0.44105,0.0239,599.346403
"2014-11-08",-0.003,-0.46905,0.44185,0.024,594.1750505
"2014-11-10",-0.0038,-0.4625,0.44045,0.0238,626.2882295
"2014-11-12",-0.00535,-0.46015,0.44145,0.0239,718.113982
"2014-11-14",-0.00505,-0.46585,0.44115,0.0239,679.0341513
"2014-11-16",-0.00635,-0.4562,0.43955,0.02395,666.4636129
"2014-11-18",-0.00715,-0.45225,0.43935,0.024,644.9534572
"2014-11-20",-0.0075,-0.437,0.4396,0.02395,614.6708548
"2014-11-22",-0.0086,-0.4198,0.4388,0.0237,614.5738495
"2014-11-24",-0.01,-0.40025,0.4369,0.02345,661.414861
"2014-11-26",-0.0111,-0.39485,0.4386,0.0234,649.6113359
"2014-11-28",-0.0122,-0.39105,0.436,0.0233,682.6896886
"2014-11-30",-0.0116,-0.39295,0.4338,0.0236,668.5640259
"2014-12-02",-0.01025,-0.39645,0.43155,0.02375,684.540087
"2014-12-04",-0.0096,-0.40485,0.43035,0.0233,663.8817424
"2014-12-06",-0.0094,-0.4056,0.43105,0.02355,677.0737623
"2014-12-08",-0.00855,-0.3996,0.4308,0.0233,652.3532842
"2014-12-10",-0.00755,-0.40125,0.43135,0.02335,636.9236875
"2014-12-12",-0.00695,-0.39165,0.4299,0.0228,647.1638994
"2014-12-14",-0.0068,-0.38605,0.42825,0.0227,647.4933222
"2014-12-16",-0.0061,-0.3808,0.4264,0.02275,627.0666345
"2014-12-18",-0.00595,-0.3852,0.4268,0.0227,620.4296192
"2014-12-20",-0.0056,-0.3845,0.43055,0.0225,633.464061
"2014-12-22",-0.00465,-0.37875,0.431,0.02235,646.606259
"2014-12-24",-0.00435,-0.36345,0.43075,0.02185,625.4374702
"2014-12-26",-0.003,-0.3587,0.43145,0.02145,642.5148802
"2014-12-28",-0.00095,-0.3572,0.4301,0.0208,617.5943186
"2014-12-30",0.000300000000000001,-0.3627,0.42895,0.0211,608.6273641
"2015-01-01",0.00165,-0.3565,0.42855,0.0212,616.1316473
"2015-01-03",0.0032,-0.3587,0.42875,0.0212,562.6183853
"2015-01-05",0.0029,-0.38005,0.42645,0.02065,533.0313055
"2015-01-07",0.0035,-0.3764,0.42645,0.0205,572.9841988
"2015-01-09",0.00415,-0.3866,0.42485,0.02045,561.4904236
"2015-01-11",0.0051,-0.39235,0.42515,0.02035,517.3586271
"2015-01-13",0.0054,-0.3851,0.42565,0.0202,428.9708196
"2015-01-15",0.00725,-0.3905,0.42375,0.02,414.9526423
"2015-01-17",0.00795,-0.39975,0.42295,0.01975,391.8564527
"2015-01-19",0.00875,-0.40685,0.4229,0.01945,419.1765445
"2015-01-21",0.0096,-0.42975,0.42275,0.0194,437.4817769
"2015-01-23",0.0115,-0.45145,0.4224,0.019,452.3410036
"2015-01-25",0.01265,-0.472,0.4231,0.01905,486.258422
"2015-01-27",0.01405,-0.4891,0.4214,0.01895,491.302726
"2015-01-29",0.0154,-0.5003,0.41775,0.0189,442.7601018
"2015-01-31",0.01645,-0.52575,0.41665,0.0186,417.903539
"2015-02-02",0.01715,-0.5556,0.4167,0.0185,450.5393327
"2015-02-04",0.01745,-0.56845,0.41635,0.01845,425.171371
"2015-02-06",0.01725,-0.57355,0.41595,0.0183,427.4006989
"2015-02-08",0.01695,-0.5801,0.4165,0.01775,424.7914831
"2015-02-10",0.01655,-0.6015,0.41615,0.01755,417.8974069
"2015-02-12",0.0164,-0.6159,0.41565,0.0173,421.4065701
"2015-02-14",0.01775,-0.5866,0.4159,0.01755,485.6408987
"2015-02-16",0.0183,-0.5855,0.41615,0.01765,442.6830486
"2015-02-18",0.0178,-0.59245,0.41615,0.01735,440.3476732
"2015-02-20",0.01695,-0.6095,0.41635,0.0171,454.8702829
"2015-02-22",0.01725,-0.6231,0.41605,0.017,439.5756614
"2015-02-24",0.01655,-0.6348,0.4161,0.01695,446.2598087
"2015-02-26",0.01575,-0.63615,0.4156,0.01685,441.9755873
"2015-02-28",0.01475,-0.64195,0.41515,0.0168,469.5931471
"2015-03-02",0.01315,-0.64505,0.4155,0.0168,493.0892133
"2015-03-04",0.0108,-0.6294,0.41595,0.01665,489.4490455
"2015-03-06",0.0096,-0.62455,0.41575,0.01635,491.9397335
"2015-03-08",0.00815,-0.627,0.4163,0.01615,493.8288093
"2015-03-10",0.0072,-0.62585,0.41745,0.0161,517.8795216
"2015-03-12",0.00645,-0.6048,0.4171,0.01615,524.7979569
"2015-03-14",0.00535,-0.5934,0.41765,0.0161,507.0598895
"2015-03-16",0.0041,-0.5881,0.41825,0.01615,520.7797618
"2015-03-18",0.00225,-0.57345,0.4192,0.01625,462.5387724
"2015-03-20",0.00175,-0.5603,0.41885,0.01615,471.1443887
"2015-03-22",0.0015,-0.5501,0.41915,0.01625,481.942197
"2015-03-24",0.001,-0.53395,0.41945,0.01625,443.300883
"2015-03-26",0.00105,-0.5389,0.4196,0.0162,443.3302905
"2015-03-28",0.000400000000000001,-0.54475,0.41955,0.016,451.1114586
"2015-03-30",0.000800000000000001,-0.53965,0.4201,0.01605,441.7096883
"2015-04-01",0.000900000000000001,-0.51345,0.41955,0.01595,437.0940488
"2015-04-03",6e-04,-0.51115,0.42045,0.0157,452.5780392
"2015-04-05",0.000550000000000001,-0.5178,0.42055,0.0153,462.275882
"2015-04-07",0.00085,-0.5213,0.4212,0.01505,452.6231327
"2015-04-09",0.0014,-0.52085,0.42195,0.0147,435.2477173
"2015-04-11",0.0026,-0.5235,0.4213,0.01445,422.0594037
"2015-04-13",0.003,-0.5215,0.4216,0.01435,400.8900332
"2015-04-15",0.00355,-0.509,0.422,0.01425,398.0584298
"2015-04-17",0.0044,-0.4829,0.42195,0.014,397.5428806
"2015-04-19",0.0048,-0.4924,0.42115,0.0138,396.9229963
"2015-04-21",0.00465,-0.50215,0.42165,0.01355,417.3243734
"2015-04-23",0.00515,-0.49385,0.4209,0.0135,418.7714062
"2015-04-25",0.0058,-0.507,0.42135,0.01325,403.469886
"2015-04-27",0.0067,-0.52045,0.4201,0.01295,406.4563669
"2015-04-29",0.00735,-0.5369,0.41945,0.0128,402.2887548
"2015-05-01",0.00745,-0.5319,0.4199,0.01235,413.8612544
"2015-05-03",0.00795,-0.53005,0.4207,0.01225,425.2087923
"2015-05-05",0.0085,-0.5279,0.4201,0.01215,418.2944711
"2015-05-07",0.00945,-0.5399,0.4205,0.01205,418.2639912
"2015-05-09",0.01045,-0.54675,0.4193,0.0119,426.0419919
"2015-05-11",0.0117,-0.5657,0.4195,0.0118,425.7169228
"2015-05-13",0.01355,-0.55665,0.41865,0.01185,414.2606235
"2015-05-15",0.0153,-0.53905,0.41925,0.01195,416.2796263
"2015-05-17",0.01675,-0.52095,0.4185,0.012,413.4259142
"2015-05-19",0.0181,-0.5112,0.418,0.01225,408.1021469
"2015-05-21",0.019,-0.49425,0.4189,0.0124,414.2958956
"2015-05-23",0.0211,-0.49115,0.418,0.0125,421.7362283
"2015-05-25",0.02295,-0.49855,0.41795,0.0125,419.6492565
"2015-05-27",0.0236,-0.49425,0.41825,0.01245,419.8101286
"2015-05-29",0.02465,-0.4769,0.41885,0.01255,427.7956212
"2015-05-31",0.02565,-0.47035,0.4185,0.01245,412.1759782
"2015-06-02",0.02635,-0.4699,0.4182,0.01235,404.1700529
"2015-06-04",0.02755,-0.45105,0.4182,0.01255,401.6024913
"2015-06-06",0.02825,-0.4362,0.4193,0.01275,403.9239004
"2015-06-08",0.02875,-0.43235,0.4209,0.0129,410.0379202
"2015-06-10",0.0292,-0.4315,0.4218,0.013,410.4231949
"2015-06-12",0.02925,-0.43595,0.42165,0.013,412.5752424
"2015-06-14",0.0295,-0.43655,0.42245,0.0133,418.5062619
"2015-06-16",0.0297,-0.42435,0.42235,0.0135,450.9443433
"2015-06-18",0.0296,-0.4027,0.42355,0.01355,451.9165876
"2015-06-20",0.0291,-0.38035,0.424,0.0136,449.3640837
"2015-06-22",0.02815,-0.39005,0.4239,0.01375,450.5259591
"2015-06-24",0.02755,-0.3715,0.42315,0.01385,440.2945765
"2015-06-26",0.0274,-0.363,0.4238,0.0141,444.5299633
"2015-06-28",0.0275,-0.3523,0.4239,0.014,454.829751
"2015-06-30",0.0275,-0.3368,0.42355,0.01425,478.1724949
"2015-07-02",0.027,-0.3263,0.4241,0.0145,463.9785672
"2015-07-04",0.02655,-0.30935,0.42415,0.0145,472.5621986
"2015-07-06",0.02745,-0.3212,0.42435,0.0149,482.6239269
"2015-07-08",0.0274,-0.3143,0.42355,0.01495,482.7691019
"2015-07-10",0.0278,-0.30515,0.4246,0.0152,506.4287137
"2015-07-12",0.0282,-0.3003,0.4258,0.01535,546.4046126
"2015-07-14",0.0285,-0.30225,0.4256,0.0152,507.9742748
"2015-07-16",0.0292,-0.31305,0.42635,0.01525,489.0871457
"2015-07-18",0.02945,-0.31135,0.4276,0.01535,485.5582962
"2015-07-20",0.0302,-0.292,0.42625,0.01565,489.1018767
"2015-07-22",0.03125,-0.2783,0.42585,0.01595,486.2082104
"2015-07-24",0.0322,-0.277,0.4255,0.01565,507.010855
"2015-07-26",0.03305,-0.27965,0.4253,0.01565,513.8088816
"2015-07-28",0.0332,-0.27295,0.42535,0.0158,518.9445071
"2015-07-30",0.03445,-0.2806,0.4263,0.01595,507.3052412
